pic|chamber2.png
wall|0|6
wall|0|5
wall|0|4
wall|0|3
wall|0|2
wall|0|1
wall|0|0
wall|1|0
wall|2|0
wall|3|0
wall|4|0
wall|5|0
wall|6|0
wall|7|0
wall|8|0
wall|9|0
wall|12|0
wall|13|0
wall|14|0
wall|15|0
wall|16|0
wall|17|0
wall|18|0
wall|18|1
wall|18|2
wall|18|3
wall|18|4
wall|18|5
wall|18|6
wall|18|7
wall|18|8
wall|18|9
wall|18|10
wall|18|11
wall|17|11
wall|16|11
wall|15|11
wall|14|11
wall|13|11
wall|12|11
wall|11|11
wall|10|11
wall|9|11
wall|8|11
wall|7|11
wall|6|11
wall|5|11
wall|4|11
wall|3|11
wall|2|11
wall|1|11
wall|0|11
wall|0|10
wall|0|9
wall|1|3
wall|1|2
wall|1|1
wall|2|1
wall|3|1
wall|3|2
wall|2|2
wall|3|3
wall|14|10
wall|15|10
wall|16|10
wall|17|9
wall|17|8
warp|0|7|3|2
warp|0|8|3|3
warp|10|0|0|2
warp|11|0|0|3
